시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
경상북도,영주시,경상북도 영주시 단산면 옥대리 산 16-1,소백산 생태탐방원,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.97163970,128.60833540"
경상북도,영주시,경상북도 영주시 단산면 옥대리 산 16-1,소백산 생태탐방원,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.97163970,128.60833540"
강원특별자치도,원주시,강원특별자치도 원주시 소초면 학곡리 890,치악산국립공원사무소 구룡소형주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.4152155,128.0507974"
강원특별자치도,원주시,강원특별자치도 원주시 소초면 학곡리 890,치악산국립공원사무소 구룡소형주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.4152155,128.0507974"
강원특별자치도,원주시,강원특별자치도 원주시 소초면 학곡리 867,치악산국립공원사무소 구룡대형주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.4184961,128.0515924"
강원특별자치도,원주시,강원특별자치도 원주시 소초면 학곡리 867,치악산국립공원사무소 구룡대형주차장,주차시설,공원주차장,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.4184961,128.0515924"
강원특별자치도,태백시,강원특별자치도 태백시 소도동326,태백산국립공원 당골제1주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.1199185,128.9504633"
강원특별자치도,태백시,강원특별자치도 태백시 소도동326,태백산국립공원 당골제1주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.1199185,128.9504633"
강원특별자치도,태백시,강원특별자치도 태백시 혈동 260-68,태백산국립공원 유일사 주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.120578,128.908675"
강원특별자치도,태백시,강원특별자치도 태백시 혈동 260-68,태백산국립공원 유일사 주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.120578,128.908675"
강원특별자치도,속초시,강원특별자치도 속초시 설악산로470-7,더케이설악산가족호텔,상업시설,숙박시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"38.1661250,128.5544097"
강원특별자치도,삼척시,강원특별자치도 삼척시 근덕면 상맹방길30-80,씨스포빌,상업시설,골프장(CC),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.3963403,129.2202489"
강원특별자치도,원주시,강원특별자치도 원주시 입춘로65,원주지방환경청,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.3273594,127.9797816"
대전광역시,대덕구,대전광역시 대덕구 신탄진로556,타이어프로신탄진,차량정비시설,정비소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.428348,127.421258"
대전광역시,동구,대전광역시 동구 용운동423-22,셀프세차장(워시하우스),기타시설,공중전화부스,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.327523,127.456465"
충청남도,서천군,충청남도 서천군 장항읍 송림리 755-12,GS장항솔바람점,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.0244568,126.6674793"
